cluster_id,rank,term,tfidf_score
0,1,num,0.18771034450661464
0,2,prize,0.12774819390620928
0,3,num prize,0.08851395205367178
0,4,won,0.08394716904404897
0,5,urgent,0.08365051673575143
0,6,claim,0.07674578041745864
0,7,won num,0.07497959568821476
0,8,num num,0.0586769724835156
0,9,num cash,0.055473280226799024
0,10,guaranteed num,0.0524908016284537
0,11,150ppm,0.0500591958894558
0,12,prize num,0.048837637760008996
0,13,claim num,0.044831498983196064
0,14,2nd,0.04385766682389041
0,15,prize guaranteed,0.043851935007459014
1,1,num,0.07444395041052498
1,2,num num,0.01716495287576306
1,3,free,0.013276564140227773
1,4,new,0.011890253376561343
1,5,text,0.008761136757595413
1,6,click,0.008547927909917203
1,7,time,0.008051024117845643
1,8,company,0.0077442354371091565
1,9,just,0.007393202178247214
1,10,mobile,0.007270974084983583
1,11,email,0.007245132446926381
1,12,online,0.007171424112334888
1,13,reply,0.007087542216696336
1,14,order,0.007024005207076056
1,15,save,0.006663960993951401
2,1,num,0.1548084637934783
2,2,txt,0.07198201282614619
2,3,ur,0.06330157987527395
2,4,stop,0.044864167821210756
2,5,msg,0.03553382939510597
2,6,150p,0.030974960308293508
2,7,num num,0.030745508955332002
2,8,free,0.029289032807332523
2,9,win,0.02775649427662037
2,10,send,0.02739793833472229
2,11,stop num,0.02514744565483908
2,12,nokia,0.024061040524175778
2,13,wk,0.023704677517075792
2,14,text,0.021096584441798488
2,15,tone,0.020736482334822014
3,1,num,0.35147720550850714
3,2,num num,0.23569682845123163
3,3,com,0.03186536831065922
3,4,computron,0.026648399548567424
3,5,computron com,0.021753932955134402
3,6,message,0.02046871522213873
3,7,www,0.01778561565081031
3,8,www computron,0.017010122312804368
3,9,price,0.01659348285813065
3,10,price num,0.016497671689264297
3,11,contact,0.01564608285969956
3,12,http,0.015518324855575279
3,13,email,0.015335967547018313
3,14,num email,0.01530570928949855
3,15,adobe,0.014792395899786353
4,1,number,0.1162184551974086
4,2,url,0.11411648818090657
4,3,email,0.026917023856878514
4,4,hyperlink,0.026120356315297435
4,5,money,0.02418809994764383
4,6,free,0.023508633960389824
4,7,mail,0.023314400679200042
4,8,click,0.0214407120231022
4,9,information,0.020931175143135198
4,10,business,0.02065686730651861
4,11,list,0.019839016577596204
4,12,country,0.019815357528551555
4,13,receive,0.018375981208131165
4,14,transaction,0.017720111124044348
4,15,account,0.01765455623637045
5,1,number,0.39625933140538494
5,2,number number,0.10663360345864133
5,3,url,0.05076274027104455
5,4,hyperlink,0.03580992549812605
5,5,free,0.033087354067754815
5,6,click,0.02503901262896752
5,7,domain,0.024852878684213407
5,8,email,0.022647947594796616
5,9,list,0.021838272275275974
5,10,mail,0.018945732998283837
5,11,money,0.018872109717061422
5,12,information,0.017596093279866575
5,13,order,0.017239765690076354
5,14,make,0.017196210963562997
5,15,software,0.01693857047348937
6,1,hyperlink,0.4288384851910691
6,2,hyperlink hyperlink,0.22282154514155453
6,3,hyperlink click,0.11057327173964561
6,4,click,0.08668216929584774
6,5,number,0.08295336195141538
6,6,url,0.08175939193429167
6,7,jm url,0.04908031502390042
6,8,jm,0.04806900410789017
6,9,email,0.04111493512031461
6,10,em,0.038653059425897994
6,11,free,0.03135698211266823
6,12,hyperlink url,0.0256762558856323
6,13,unsubscribe,0.02374202255658908
6,14,removed,0.02373035269055126
6,15,mailing,0.023037099537743737
7,1,http,0.0879962647970391
7,2,num,0.08093906011436443
7,3,com,0.06299632782550194
7,4,www,0.05709581076642175
7,5,http www,0.056089727659959884
7,6,want,0.021319875125275965
7,7,html,0.018946751998000767
7,8,biz,0.0180584839387731
7,9,php,0.01608730442677009
7,10,info,0.01491859115205113
7,11,font,0.014815295877738523
7,12,cheap,0.014698665841530924
7,13,pain,0.014236140572074507
7,14,best,0.014070792399559521
7,15,net,0.01369522632238637
